epoch,accuracy,loss,val_accuracy,val_loss
0,0.36424022912979126,1.3299620151519775,0.44092220067977905,1.3017481565475464
1,0.642956018447876,1.008425235748291,0.6484149694442749,0.9723398089408875
2,0.79213947057724,0.5914039611816406,0.6772334575653076,0.8232963681221008
3,0.8497093915939331,0.41946566104888916,0.7031700015068054,0.8246046900749207
4,0.8782175183296204,0.32775405049324036,0.6829971075057983,0.8736061453819275
5,0.9100470542907715,0.2637961208820343,0.6858789920806885,0.9108663201332092
6,0.9274840950965881,0.22057048976421356,0.6829971075057983,0.9807735681533813
7,0.9407694339752197,0.1804174929857254,0.680115282535553,1.0549418926239014
8,0.9496263265609741,0.15443027019500732,0.6657060384750366,1.1056511402130127
9,0.9587600231170654,0.13545221090316772,0.6685879230499268,1.1832371950149536
10,0.9623581767082214,0.11772061884403229,0.6628242135047913,1.2048956155776978
11,0.9651259183883667,0.10904785245656967,0.6570605039596558,1.3073241710662842
12,0.9692776203155518,0.10388492047786713,0.6599423885345459,1.3218560218811035
13,0.9712150692939758,0.09628011286258698,0.6599423885345459,1.3707282543182373
14,0.972875714302063,0.0863960012793541,0.6455331444740295,1.4045354127883911
15,0.975089967250824,0.08248110115528107,0.6628242135047913,1.397106647491455
16,0.9731525182723999,0.07420974224805832,0.6484149694442749,1.4672725200653076
17,0.9759202599525452,0.07276875525712967,0.6628242135047913,1.4936877489089966
18,0.9778577089309692,0.0708317682147026,0.6570605039596558,1.548062801361084
19,0.9753667116165161,0.07095379382371902,0.651296854019165,1.5722540616989136
20,0.9761970639228821,0.06492375582456589,0.6541786789894104,1.6302508115768433
21,0.9778577089309692,0.06591393053531647,0.6599423885345459,1.6176483631134033
22,0.977027416229248,0.06304382532835007,0.6599423885345459,1.6646548509597778
23,0.9784113168716431,0.05815580114722252,0.6714697480201721,1.692909598350525
24,0.9781345129013062,0.055648304522037506,0.6570605039596558,1.7184922695159912
